FIPS Code,State/Area,Year,Month,Civilian_Noninst_Pop,Labor_Force,Employed,Unemployed,Unemployment_Rate
40,Oklahoma,1976,1,"1,999,000","1,186,198","1,116,824","69,374",5.8
41,Oregon,1976,1,"1,716,000","1,078,645","976,450","102,195",9.5
42,Pennsylvania,1976,1,"8,774,000","5,122,733","4,710,510","412,223",8
44,Rhode Island,1976,1,"691,000","440,979","406,706","34,273",7.8
45,South Carolina,1976,1,"1,984,000","1,295,867","1,200,437","95,430",7.4
46,South Dakota,1976,1,"477,000","308,031","297,972","10,059",3.3
47,Tennessee,1976,1,"3,078,000","1,834,194","1,723,616","110,578",6
48,Texas,1976,1,"8,818,000","5,623,303","5,294,695","328,608",5.8
49,Utah,1976,1,"824,000","517,325","487,063","30,262",5.8
50,Vermont,1976,1,"339,000","215,575","196,968","18,607",8.6
51,Virginia,1976,1,"3,534,000","2,330,159","2,187,531","142,628",6.1
53,Washington,1976,1,"2,598,000","1,583,070","1,448,543","134,527",8.5
54,West Virginia,1976,1,"1,352,000","710,144","657,179","52,965",7.5
55,Wisconsin,1976,1,"3,245,000","2,128,893","2,005,997","122,896",5.8
56,Wyoming,1976,1,"270,000","176,214","169,014","7,200",4.1
1,Alabama,1976,2,"2,610,000","1,483,950","1,385,675","98,275",6.6
2,Alaska,1976,2,"234,000","160,022","148,718","11,304",7.1
4,Arizona,1976,2,"1,626,000","963,394","865,215","98,179",10.2
5,Arkansas,1976,2,"1,538,000","888,771","824,008","64,763",7.3
6,California,1976,2,"15,657,000","9,768,885","8,871,553","897,332",9.2
37,Los Angeles County,1976,2,"5,283,000","3,381,218","3,081,497","299,721",8.9
8,Colorado,1976,2,"1,837,000","1,230,680","1,160,001","70,679",5.7
9,Connecticut,1976,2,"2,251,000","1,442,118","1,301,107","141,011",9.8
10,Delaware,1976,2,"418,000","261,325","240,545","20,780",8
11,District of Columbia,1976,2,"519,000","334,767","305,759","29,008",8.7
12,Florida,1976,2,"6,437,000","3,583,970","3,237,372","346,598",9.7
13,Georgia,1976,2,"3,528,000","2,243,779","2,055,366","188,413",8.4
15,Hawaii,1976,2,"585,000","407,385","367,403","39,982",9.8
16,Idaho,1976,2,"582,000","365,295","344,916","20,379",5.6
17,Illinois,1976,2,"8,136,000","5,122,237","4,785,460","336,777",6.6
18,Indiana,1976,2,"3,793,000","2,424,387","2,264,552","159,835",6.6
19,Iowa,1976,2,"2,069,000","1,329,511","1,271,866","57,645",4.3
20,Kansas,1976,2,"1,637,000","1,064,471","1,019,842","44,629",4.2
21,Kentucky,1976,2,"2,465,000","1,486,110","1,402,206","83,904",5.6
22,Louisiana,1976,2,"2,678,000","1,516,595","1,421,064","95,531",6.3
23,Maine,1976,2,"766,000","474,272","433,173","41,099",8.7
24,Maryland,1976,2,"2,958,000","1,898,511","1,776,509","122,002",6.4
25,Massachusetts,1976,2,"4,198,000","2,716,261","2,431,016","285,245",10.5
26,Michigan,1976,2,"6,424,000","3,951,549","3,560,591","390,958",9.9
27,Minnesota,1976,2,"2,793,000","1,828,517","1,719,004","109,513",6
28,Mississippi,1976,2,"1,644,000","963,333","899,114","64,219",6.7
29,Missouri,1976,2,"3,469,000","2,092,849","1,968,522","124,327",5.9
30,Montana,1976,2,"532,000","332,686","313,365","19,321",5.8
31,Nebraska,1976,2,"1,096,000","710,770","687,121","23,649",3.3
32,Nevada,1976,2,"454,000","321,323","291,651","29,672",9.2
33,New Hampshire,1976,2,"595,000","390,586","365,177","25,409",6.5
34,New Jersey,1976,2,"5,363,000","3,293,155","2,953,668","339,487",10.3
35,New Mexico,1976,2,"795,000","481,103","439,486","41,617",8.7
36,New York,1976,2,"13,202,000","7,656,709","6,871,169","785,540",10.3
51000,New York city,1976,2,"5,692,000","3,065,430","2,722,421","343,009",11.2
37,North Carolina,1976,2,"3,905,000","2,589,914","2,422,974","166,940",6.4
38,North Dakota,1976,2,"443,000","276,615","267,143","9,472",3.4
39,Ohio,1976,2,"7,706,000","4,754,964","4,368,157","386,807",8.1
40,Oklahoma,1976,2,"2,003,000","1,185,846","1,116,531","69,315",5.8
41,Oregon,1976,2,"1,720,000","1,077,762","975,742","102,020",9.5
42,Pennsylvania,1976,2,"8,780,000","5,122,163","4,709,350","412,813",8.1
44,Rhode Island,1976,2,"692,000","440,950","406,719","34,231",7.8
45,South Carolina,1976,2,"1,988,000","1,295,652","1,200,235","95,417",7.4
46,South Dakota,1976,2,"478,000","307,916","297,878","10,038",3.3
47,Tennessee,1976,2,"3,084,000","1,832,969","1,722,558","110,411",6
48,Texas,1976,2,"8,844,000","5,619,825","5,291,252","328,573",5.8
49,Utah,1976,2,"826,000","516,978","486,695","30,283",5.9
50,Vermont,1976,2,"340,000","215,467","196,846","18,621",8.6
51,Virginia,1976,2,"3,543,000","2,329,603","2,187,080","142,523",6.1
53,Washington,1976,2,"2,604,000","1,581,641","1,447,552","134,089",8.5
54,West Virginia,1976,2,"1,355,000","710,252","657,268","52,984",7.5
55,Wisconsin,1976,2,"3,248,000","2,128,026","2,005,096","122,930",5.8
56,Wyoming,1976,2,"271,000","176,014","168,813","7,201",4.1
1,Alabama,1976,3,"2,615,000","1,484,241","1,386,793","97,448",6.6
2,Alaska,1976,3,"236,000","160,124","148,935","11,189",7
4,Arizona,1976,3,"1,631,000","963,556","865,905","97,651",10.1
5,Arkansas,1976,3,"1,539,000","888,557","823,855","64,702",7.3
6,California,1976,3,"15,694,000","9,768,531","8,875,700","892,831",9.1
37,Los Angeles County,1976,3,"5,292,000","3,381,679","3,083,346","298,333",8.8
8,Colorado,1976,3,"1,841,000","1,229,907","1,159,916","69,991",5.7
9,Connecticut,1976,3,"2,253,000","1,442,585","1,301,919","140,666",9.8
10,Delaware,1976,3,"418,000","261,306","240,523","20,783",8
11,District of Columbia,1976,3,"519,000","334,769","305,939","28,830",8.6
12,Florida,1976,3,"6,452,000","3,583,894","3,238,803","345,091",9.6
13,Georgia,1976,3,"3,534,000","2,244,320","2,056,476","187,844",8.4
15,Hawaii,1976,3,"586,000","407,576","367,608","39,968",9.8
16,Idaho,1976,3,"583,000","365,320","344,962","20,358",5.6
17,Illinois,1976,3,"8,146,000","5,123,914","4,787,596","336,318",6.6
18,Indiana,1976,3,"3,797,000","2,424,005","2,265,615","158,390",6.5
19,Iowa,1976,3,"2,072,000","1,329,559","1,272,124","57,435",4.3
20,Kansas,1976,3,"1,640,000","1,064,641","1,020,044","44,597",4.2
21,Kentucky,1976,3,"2,470,000","1,486,259","1,402,586","83,673",5.6
22,Louisiana,1976,3,"2,685,000","1,516,489","1,420,882","95,607",6.3
23,Maine,1976,3,"767,000","474,440","433,462","40,978",8.6
24,Maryland,1976,3,"2,962,000","1,898,022","1,776,482","121,540",6.4
25,Massachusetts,1976,3,"4,201,000","2,715,115","2,430,783","284,332",10.5
26,Michigan,1976,3,"6,430,000","3,953,694","3,562,811","390,883",9.9
27,Minnesota,1976,3,"2,797,000","1,828,605","1,720,108","108,497",5.9
28,Mississippi,1976,3,"1,647,000","963,510","900,093","63,417",6.6
29,Missouri,1976,3,"3,473,000","2,093,314","1,969,025","124,289",5.9
30,Montana,1976,3,"533,000","332,560","313,352","19,208",5.8
31,Nebraska,1976,3,"1,097,000","710,627","687,236","23,391",3.3
32,Nevada,1976,3,"456,000","321,400","291,820","29,580",9.2
33,New Hampshire,1976,3,"596,000","390,816","365,391","25,425",6.5
34,New Jersey,1976,3,"5,367,000","3,294,615","2,955,302","339,313",10.3
35,New Mexico,1976,3,"798,000","481,308","439,624","41,684",8.7
36,New York,1976,3,"13,207,000","7,657,019","6,874,360","782,659",10.2
51000,New York city,1976,3,"5,690,000","3,064,867","2,722,931","341,936",11.2
37,North Carolina,1976,3,"3,912,000","2,591,051","2,424,774","166,277",6.4
38,North Dakota,1976,3,"444,000","276,633","267,177","9,456",3.4
39,Ohio,1976,3,"7,711,000","4,755,734","4,369,756","385,978",8.1
40,Oklahoma,1976,3,"2,007,000","1,185,640","1,116,631","69,009",5.8
41,Oregon,1976,3,"1,724,000","1,076,843","975,675","101,168",9.4
42,Pennsylvania,1976,3,"8,786,000","5,123,224","4,708,719","414,505",8.1
44,Rhode Island,1976,3,"693,000","441,054","406,950","34,104",7.7
45,South Carolina,1976,3,"1,992,000","1,295,432","1,200,705","94,727",7.3
46,South Dakota,1976,3,"478,000","307,864","297,968","9,896",3.2
47,Tennessee,1976,3,"3,091,000","1,832,485","1,722,558","109,927",6
48,Texas,1976,3,"8,870,000","5,623,418","5,293,477","329,941",5.9
49,Utah,1976,3,"828,000","517,186","486,955","30,231",5.8
50,Vermont,1976,3,"341,000","215,624","196,979","18,645",8.6
51,Virginia,1976,3,"3,551,000","2,329,408","2,187,833","141,575",6.1
53,Washington,1976,3,"2,611,000","1,581,050","1,447,484","133,566",8.4
54,West Virginia,1976,3,"1,358,000","710,795","657,702","53,093",7.5
55,Wisconsin,1976,3,"3,252,000","2,127,839","2,005,801","122,038",5.7
56,Wyoming,1976,3,"272,000","176,105","168,932","7,173",4.1
1,Alabama,1976,4,"2,620,000","1,487,233","1,390,787","96,446",6.5
2,Alaska,1976,4,"237,000","161,033","149,867","11,166",6.9
4,Arizona,1976,4,"1,636,000","966,567","870,141","96,426",10
5,Arkansas,1976,4,"1,541,000","888,945","825,015","63,930",7.2
6,California,1976,4,"15,731,000","9,789,023","8,902,662","886,361",9.1
37,Los Angeles County,1976,4,"5,302,000","3,385,126","3,089,190","295,936",8.7
8,Colorado,1976,4,"1,846,000","1,229,301","1,160,052","69,249",5.6
9,Connecticut,1976,4,"2,255,000","1,446,319","1,307,272","139,047",9.6
10,Delaware,1976,4,"419,000","261,570","240,379","21,191",8.1
11,District of Columbia,1976,4,"518,000","334,217","305,824","28,393",8.5
12,Florida,1976,4,"6,468,000","3,586,526","3,246,473","340,053",9.5
13,Georgia,1976,4,"3,540,000","2,249,492","2,063,590","185,902",8.3
15,Hawaii,1976,4,"588,000","408,192","368,776","39,416",9.7
16,Idaho,1976,4,"585,000","366,582","346,124","20,458",5.6
17,Illinois,1976,4,"8,155,000","5,131,695","4,795,335","336,360",6.6
18,Indiana,1976,4,"3,801,000","2,426,376","2,273,481","152,895",6.3
19,Iowa,1976,4,"2,075,000","1,330,950","1,274,556","56,394",4.2
20,Kansas,1976,4,"1,642,000","1,067,139","1,022,562","44,577",4.2
21,Kentucky,1976,4,"2,475,000","1,488,051","1,404,930","83,121",5.6
22,Louisiana,1976,4,"2,692,000","1,519,054","1,422,019","97,035",6.4
23,Maine,1976,4,"769,000","475,164","434,471","40,693",8.6
24,Maryland,1976,4,"2,966,000","1,900,112","1,778,204","121,908",6.4
25,Massachusetts,1976,4,"4,204,000","2,715,481","2,436,049","279,432",10.3
26,Michigan,1976,4,"6,436,000","3,963,423","3,576,236","387,187",9.8
27,Minnesota,1976,4,"2,802,000","1,832,231","1,726,077","106,154",5.8
28,Mississippi,1976,4,"1,650,000","964,902","903,082","61,820",6.4
29,Missouri,1976,4,"3,477,000","2,099,444","1,973,947","125,497",6
30,Montana,1976,4,"534,000","332,503","313,343","19,160",5.8
31,Nebraska,1976,4,"1,098,000","711,432","688,636","22,796",3.2
32,Nevada,1976,4,"458,000","322,625","293,430","29,195",9
33,New Hampshire,1976,4,"598,000","392,772","367,257","25,515",6.5
34,New Jersey,1976,4,"5,372,000","3,301,383","2,961,197","340,186",10.3
35,New Mexico,1976,4,"801,000","482,739","441,037","41,702",8.6
36,New York,1976,4,"13,213,000","7,664,202","6,884,805","779,397",10.2
51000,New York city,1976,4,"5,689,000","3,067,313","2,726,299","341,014",11.1
37,North Carolina,1976,4,"3,919,000","2,595,746","2,432,742","163,004",6.3
38,North Dakota,1976,4,"444,000","277,360","267,713","9,647",3.5
39,Ohio,1976,4,"7,716,000","4,755,492","4,375,662","379,830",8
40,Oklahoma,1976,4,"2,011,000","1,186,430","1,118,154","68,276",5.8
41,Oregon,1976,4,"1,728,000","1,078,204","978,506","99,698",9.2
42,Pennsylvania,1976,4,"8,792,000","5,126,833","4,710,603","416,230",8.1
44,Rhode Island,1976,4,"693,000","441,240","407,314","33,926",7.7
45,South Carolina,1976,4,"1,996,000","1,295,324","1,202,589","92,735",7.2
46,South Dakota,1976,4,"479,000","308,191","298,513","9,678",3.1
47,Tennessee,1976,4,"3,097,000","1,835,764","1,726,382","109,382",6
48,Texas,1976,4,"8,896,000","5,646,313","5,312,877","333,436",5.9
49,Utah,1976,4,"830,000","519,054","489,107","29,947",5.8
50,Vermont,1976,4,"341,000","216,413","197,785","18,628",8.6
51,Virginia,1976,4,"3,559,000","2,330,733","2,191,295","139,438",6
53,Washington,1976,4,"2,617,000","1,585,515","1,451,387","134,128",8.5
54,West Virginia,1976,4,"1,360,000","711,428","658,257","53,171",7.5
55,Wisconsin,1976,4,"3,256,000","2,130,436","2,011,006","119,430",5.6
56,Wyoming,1976,4,"273,000","177,119","170,037","7,082",4
1,Alabama,1976,5,"2,626,000","1,491,392","1,395,320","96,072",6.4
2,Alaska,1976,5,"239,000","162,338","151,056","11,282",6.9
4,Arizona,1976,5,"1,642,000","971,080","875,687","95,393",9.8
5,Arkansas,1976,5,"1,542,000","889,913","827,062","62,851",7.1
6,California,1976,5,"15,768,000","9,821,255","8,938,559","882,696",9
37,Los Angeles County,1976,5,"5,311,000","3,389,808","3,095,552","294,256",8.7
8,Colorado,1976,5,"1,850,000","1,229,470","1,160,471","68,999",5.6
9,Connecticut,1976,5,"2,257,000","1,451,616","1,314,537","137,079",9.4
10,Delaware,1976,5,"420,000","262,016","240,214","21,802",8.3
11,District of Columbia,1976,5,"518,000","333,396","305,434","27,962",8.4
12,Florida,1976,5,"6,483,000","3,591,097","3,256,638","334,459",9.3
13,Georgia,1976,5,"3,547,000","2,256,660","2,073,036","183,624",8.1
15,Hawaii,1976,5,"590,000","408,933","370,291","38,642",9.4
16,Idaho,1976,5,"587,000","368,506","347,899","20,607",5.6
17,Illinois,1976,5,"8,164,000","5,141,790","4,804,374","337,416",6.6
18,Indiana,1976,5,"3,806,000","2,431,160","2,284,630","146,530",6
19,Iowa,1976,5,"2,078,000","1,332,994","1,277,930","55,064",4.1
20,Kansas,1976,5,"1,644,000","1,070,872","1,026,320","44,552",4.2
21,Kentucky,1976,5,"2,480,000","1,490,599","1,408,137","82,462",5.5
22,Louisiana,1976,5,"2,699,000","1,523,344","1,424,086","99,258",6.5
23,Maine,1976,5,"771,000","476,012","435,612","40,400",8.5
24,Maryland,1976,5,"2,971,000","1,904,080","1,781,196","122,884",6.5
25,Massachusetts,1976,5,"4,207,000","2,718,111","2,444,886","273,225",10.1
26,Michigan,1976,5,"6,442,000","3,975,642","3,594,264","381,378",9.6
27,Minnesota,1976,5,"2,806,000","1,837,908","1,733,886","104,022",5.7
28,Mississippi,1976,5,"1,653,000","966,754","906,282","60,472",6.3
29,Missouri,1976,5,"3,481,000","2,108,332","1,981,037","127,295",6
30,Montana,1976,5,"535,000","332,602","313,383","19,219",5.8
31,Nebraska,1976,5,"1,100,000","712,943","690,704","22,239",3.1
32,Nevada,1976,5,"460,000","324,425","295,681","28,744",8.9
33,New Hampshire,1976,5,"599,000","395,493","369,866","25,627",6.5
34,New Jersey,1976,5,"5,376,000","3,309,870","2,968,185","341,685",10.3
35,New Mexico,1976,5,"804,000","484,676","443,026","41,650",8.6
36,New York,1976,5,"13,219,000","7,675,792","6,896,958","778,834",10.1
51000,New York city,1976,5,"5,687,000","3,071,973","2,730,681","341,292",11.1
37,North Carolina,1976,5,"3,926,000","2,601,868","2,442,874","158,994",6.1
38,North Dakota,1976,5,"445,000","278,481","268,524","9,957",3.6
39,Ohio,1976,5,"7,721,000","4,754,562","4,382,938","371,624",7.8
40,Oklahoma,1976,5,"2,015,000","1,187,895","1,120,284","67,611",5.7
41,Oregon,1976,5,"1,732,000","1,081,658","983,065","98,593",9.1
42,Pennsylvania,1976,5,"8,798,000","5,130,966","4,715,133","415,833",8.1
44,Rhode Island,1976,5,"694,000","441,388","407,576","33,812",7.7
45,South Carolina,1976,5,"2,001,000","1,295,580","1,204,846","90,734",7
46,South Dakota,1976,5,"480,000","308,798","299,264","9,534",3.1
47,Tennessee,1976,5,"3,103,000","1,841,933","1,732,735","109,198",5.9
48,Texas,1976,5,"8,922,000","5,676,963","5,339,976","336,987",5.9
49,Utah,1976,5,"833,000","521,698","492,102","29,596",5.7
50,Vermont,1976,5,"342,000","217,411","198,845","18,566",8.5
51,Virginia,1976,5,"3,567,000","2,333,352","2,195,739","137,613",5.9
53,Washington,1976,5,"2,623,000","1,593,274","1,457,626","135,648",8.5
54,West Virginia,1976,5,"1,363,000","711,509","658,512","52,997",7.4
55,Wisconsin,1976,5,"3,260,000","2,134,954","2,018,302","116,652",5.5
56,Wyoming,1976,5,"274,000","178,560","171,583","6,977",3.9
1,Alabama,1976,6,"2,631,000","1,496,160","1,399,430","96,730",6.5
2,Alaska,1976,6,"240,000","163,908","152,324","11,584",7.1
4,Arizona,1976,6,"1,647,000","976,461","881,602","94,859",9.7
5,Arkansas,1976,6,"1,544,000","891,434","829,833","61,601",6.9
6,California,1976,6,"15,804,000","9,861,887","8,977,255","884,632",9
37,Los Angeles County,1976,6,"5,321,000","3,394,977","3,100,801","294,176",8.7
8,Colorado,1976,6,"1,855,000","1,231,223","1,161,704","69,519",5.6
9,Connecticut,1976,6,"2,259,000","1,457,006","1,322,011","134,995",9.3
10,Delaware,1976,6,"420,000","262,640","240,155","22,485",8.6
11,District of Columbia,1976,6,"517,000","332,440","304,715","27,725",8.3
12,Florida,1976,6,"6,499,000","3,597,210","3,267,451","329,759",9.2
13,Georgia,1976,6,"3,553,000","2,265,027","2,083,290","181,737",8
15,Hawaii,1976,6,"591,000","409,662","371,836","37,826",9.2
16,Idaho,1976,6,"588,000","370,833","350,070","20,763",5.6
17,Illinois,1976,6,"8,174,000","5,151,113","4,812,220","338,893",6.6
18,Indiana,1976,6,"3,810,000","2,438,240","2,296,745","141,495",5.8
19,Iowa,1976,6,"2,081,000","1,335,252","1,281,456","53,796",4
20,Kansas,1976,6,"1,647,000","1,075,261","1,030,858","44,403",4.1
21,Kentucky,1976,6,"2,485,000","1,493,134","1,411,443","81,691",5.5
22,Louisiana,1976,6,"2,705,000","1,528,892","1,427,096","101,796",6.7
23,Maine,1976,6,"772,000","476,725","436,500","40,225",8.4
24,Maryland,1976,6,"2,975,000","1,909,635","1,785,402","124,233",6.5
25,Massachusetts,1976,6,"4,210,000","2,723,768","2,456,971","266,797",9.8
26,Michigan,1976,6,"6,448,000","3,987,683","3,613,034","374,649",9.4
27,Minnesota,1976,6,"2,811,000","1,845,509","1,742,473","103,036",5.6
28,Mississippi,1976,6,"1,656,000","968,797","908,939","59,858",6.2
29,Missouri,1976,6,"3,485,000","2,118,778","1,989,320","129,458",6.1
30,Montana,1976,6,"536,000","333,040","313,675","19,365",5.8
31,Nebraska,1976,6,"1,101,000","715,081","693,197","21,884",3.1
32,Nevada,1976,6,"462,000","326,591","298,204","28,387",8.7
33,New Hampshire,1976,6,"601,000","398,473","372,765","25,708",6.5
34,New Jersey,1976,6,"5,381,000","3,318,612","2,975,187","343,425",10.3
35,New Mexico,1976,6,"807,000","487,022","445,278","41,744",8.6
36,New York,1976,6,"13,224,000","7,688,483","6,907,840","780,643",10.2
51000,New York city,1976,6,"5,685,000","3,077,212","2,735,049","342,163",11.1
37,North Carolina,1976,6,"3,933,000","2,608,026","2,452,391","155,635",6
38,North Dakota,1976,6,"446,000","279,841","269,504","10,337",3.7
39,Ohio,1976,6,"7,726,000","4,753,211","4,389,731","363,480",7.6
40,Oklahoma,1976,6,"2,019,000","1,189,831","1,122,849","66,982",5.6
41,Oregon,1976,6,"1,736,000","1,087,580","989,181","98,399",9
42,Pennsylvania,1976,6,"8,804,000","5,135,162","4,722,519","412,643",8
44,Rhode Island,1976,6,"695,000","441,442","407,522","33,920",7.7
45,South Carolina,1976,6,"2,005,000","1,296,350","1,207,151","89,199",6.9
46,South Dakota,1976,6,"480,000","309,715","300,120","9,595",3.1
47,Tennessee,1976,6,"3,110,000","1,850,737","1,740,968","109,769",5.9
48,Texas,1976,6,"8,948,000","5,708,574","5,369,891","338,683",5.9
49,Utah,1976,6,"835,000","524,656","495,414","29,242",5.6
50,Vermont,1976,6,"342,000","218,340","199,914","18,426",8.4
51,Virginia,1976,6,"3,575,000","2,337,293","2,200,717","136,576",5.8
53,Washington,1976,6,"2,630,000","1,604,380","1,466,236","138,144",8.6
54,West Virginia,1976,6,"1,366,000","710,644","658,327","52,317",7.4
55,Wisconsin,1976,6,"3,263,000","2,141,170","2,026,605","114,565",5.4
56,Wyoming,1976,6,"275,000","180,143","173,267","6,876",3.8
1,Alabama,1976,7,"2,636,000","1,500,730","1,402,364","98,366",6.6
2,Alaska,1976,7,"242,000","165,368","153,282","12,086",7.3
4,Arizona,1976,7,"1,652,000","981,975","887,162","94,813",9.7
5,Arkansas,1976,7,"1,545,000","893,053","832,622","60,431",6.8
6,California,1976,7,"15,841,000","9,903,604","9,010,377","893,227",9
37,Los Angeles County,1976,7,"5,330,000","3,399,094","3,103,079","296,015",8.7
8,Colorado,1976,7,"1,859,000","1,234,684","1,163,541","71,143",5.8
9,Connecticut,1976,7,"2,261,000","1,460,635","1,327,624","133,011",9.1
10,Delaware,1976,7,"421,000","263,315","240,211","23,104",8.8
11,District of Columbia,1976,7,"517,000","331,507","303,684","27,823",8.4
12,Florida,1976,7,"6,514,000","3,602,782","3,275,577","327,205",9.1
13,Georgia,1976,7,"3,559,000","2,273,239","2,092,242","180,997",8
15,Hawaii,1976,7,"593,000","410,102","373,058","37,044",9
16,Idaho,1976,7,"590,000","373,107","352,181","20,926",5.6
17,Illinois,1976,7,"8,183,000","5,156,594","4,816,599","339,995",6.6
18,Indiana,1976,7,"3,814,000","2,445,243","2,306,108","139,135",5.7
19,Iowa,1976,7,"2,084,000","1,337,276","1,284,353","52,923",4
20,Kansas,1976,7,"1,649,000","1,079,247","1,035,054","44,193",4.1
21,Kentucky,1976,7,"2,490,000","1,494,780","1,413,722","81,058",5.4
22,Louisiana,1976,7,"2,712,000","1,534,267","1,430,273","103,994",6.8
23,Maine,1976,7,"774,000","477,095","436,790","40,305",8.4
24,Maryland,1976,7,"2,979,000","1,915,202","1,789,408","125,794",6.6
25,Massachusetts,1976,7,"4,213,000","2,730,674","2,469,470","261,204",9.6
26,Michigan,1976,7,"6,454,000","3,996,327","3,627,749","368,578",9.2
27,Minnesota,1976,7,"2,815,000","1,853,413","1,749,799","103,614",5.6
28,Mississippi,1976,7,"1,659,000","970,764","910,473","60,291",6.2
29,Missouri,1976,7,"3,489,000","2,128,622","1,996,806","131,816",6.2
30,Montana,1976,7,"537,000","333,822","314,232","19,590",5.9
31,Nebraska,1976,7,"1,102,000","717,323","695,483","21,840",3
32,Nevada,1976,7,"464,000","328,735","300,492","28,243",8.6
33,New Hampshire,1976,7,"602,000","401,028","375,302","25,726",6.4
34,New Jersey,1976,7,"5,385,000","3,325,758","2,980,510","345,248",10.4
35,New Mexico,1976,7,"810,000","489,256","447,267","41,989",8.6
36,New York,1976,7,"13,230,000","7,696,362","6,912,373","783,989",10.2
51000,New York city,1976,7,"5,683,000","3,081,073","2,737,981","343,092",11.1
37,North Carolina,1976,7,"3,940,000","2,612,384","2,458,363","154,021",5.9
38,North Dakota,1976,7,"447,000","281,143","270,419","10,724",3.8
39,Ohio,1976,7,"7,731,000","4,750,580","4,392,879","357,701",7.5
40,Oklahoma,1976,7,"2,023,000","1,191,650","1,125,315","66,335",5.6
41,Oregon,1976,7,"1,740,000","1,094,956","995,571","99,385",9.1
42,Pennsylvania,1976,7,"8,810,000","5,138,310","4,729,977","408,333",7.9
44,Rhode Island,1976,7,"696,000","441,304","406,937","34,367",7.8
45,South Carolina,1976,7,"2,009,000","1,297,400","1,208,997","88,403",6.8
46,South Dakota,1976,7,"481,000","310,718","300,829","9,889",3.2
47,Tennessee,1976,7,"3,116,000","1,860,137","1,748,920","111,217",6
48,Texas,1976,7,"8,974,000","5,732,915","5,395,557","337,358",5.9
49,Utah,1976,7,"837,000","527,210","498,273","28,937",5.5
50,Vermont,1976,7,"343,000","218,925","200,721","18,204",8.3
51,Virginia,1976,7,"3,583,000","2,341,316","2,205,025","136,291",5.8
53,Washington,1976,7,"2,636,000","1,617,348","1,475,933","141,415",8.7
54,West Virginia,1976,7,"1,369,000","708,875","657,571","51,304",7.2
55,Wisconsin,1976,7,"3,267,000","2,147,574","2,033,622","113,952",5.3
56,Wyoming,1976,7,"276,000","181,523","174,732","6,791",3.7
1,Alabama,1976,8,"2,641,000","1,505,121","1,404,636","100,485",6.7
2,Alaska,1976,8,"243,000","166,416","153,715","12,701",7.6
4,Arizona,1976,8,"1,658,000","987,541","892,485","95,056",9.6
